No;Category;Level;Question;A;B;C;D;Correct;Additional
1;bionicle;4;Who's the 'fake' Bohrok?;Fohrok;Kohrak;Nuhvok;Pahrak;A;
2;bionicle;1;Who's the leader of Toa Mata and Toa Nuva?;Mavrah;Nuparu;Tahu;Vakama;C;
3;bionicle;2;Who's the Toa of Light?;Gali;Makuta;Tahu;Takanuva;D;
4;bionicle;3;Who invented the Boxor during the Bohrok Wars?;Brutaka;Lewa;Nuparu;Takanuva;C;
5;bionicle;3;Who's the acid Bohrok?;Fohrok;Kohrak;Lehvak;Nuhvok;C;
6;bionicle;3;Who forged the Mask of Time?;Makuta;Pewku;Takua;Vakama;D;
7;bionicle;2;Who's the Toa Nuva of Air?;Gali;Kopaka;Lewa;Onua;C;
8;bionicle;4;Who's the Jailer of the Pit?;Axonn;Hydraxon;Kanohi Rode;Mata Nui;B;
9;bionicle;3;Who's the Bohrok of Earth?;Gahlok;Nuhvok;Pahrak;Tahnok;B;
10;bionicle;4;What's the name of Bohrok Queens?;Bahrag;Fohrok;Gahlok;Hagah;A;
11;bionicle;3;Who's the Bohrok of Fire?;Kohrak;Lehvak;Nuhvok;Tahnok;D;
12;bionicle;2;Who's the Toa Nuva of Earth?;Kopaka;Lewa;Onua;Pohatu;C;
13;bionicle;3;Who's the Ta-Matoran that later became Takanuva?;Bohrok-Kal;Ignika;Takua;Vakama;C;
14;bionicle;2;Who's the Toa of Water?;Gali;Ignika;Pohatu;Tahu;A;
15;bionicle;4;In 'Bionicle: Mask of Light', Takanuva and Makuta merged into:;Tahutanuva;Takanumakuta;Takutanuva;Tannu Tuva;C;
16;bionicle;3;What's the name of Jaller's pet racing crab?;Boxor;Frostelus;Kraahkan;Pewku;D;
17;bionicle;2;Who's the Toa of Ice?;Ignika;Kopaka;Lewa;Takanuva;B;
18;bionicle;3;Who sacrificed their Toa powers and became Turangas on Mata Nui?;Toa Inika/Toa Mahri;Toa Mangai;Toa Mata/Toa Nuva;Toa Metru/Toa Hordika;D;
19;bionicle;3;Bohrok' brain that could eject itself from its host onto another being's face taking control of that being's mind.;Karda Nui;Kraahkan;Kraata;Krana;D;
20;bionicle;4;A group of six elite Bohroks, whose purpose was to free the Bohrok Queens.;Bohrok Kaita Jal;Bohrok-Kal;Bohrok Matau;Bohrok Va;B;
21;bionicle;3;Who's the Rahkshi of Anger?;Kurahk;Panrahk;Vorahk;Turahk;A;
22;capital cities;2;What is the *de facto* capital of Switzerland?;Bern;Brno;Lugano;Zurych;A;
23;capital cities;4;Pick a country whose capital is not its largest city in terms of population.;Pakistan;Panama;Philippines;Poland;A;
24;capital cities;3;What is the capital city of India?;Indore;Kolkata;Mumbai;New Delhi;D;
25;capital cities;5;Which city was Brazil's first capital?;Belem;Fortaleza;Porto Alegre;Salvador;D;
26;capital cities;5;Pick a country whose capital city to national population ratio is the lowest.;Australia;China;Russia;United States;D;
27;capital cities;4;In 2019 Kazakhstan's capital city of Astana changed its name to:;Almaty;Dagestan;Islamabad;Nur-Sultan;D;
28;capital cities;4;Out of the following 4 European capital cities, pick the most populous.;Belgrade;Budapest;Minsk;Prague;C;
29;capital cities;3;Before the Reunification in 1990, this city was the capital of Federal Republic of Germany.;Bonn;Cologne;Munich;West Berlin;A;
30;capital cities;2;After the Armistice of 22 June 1940, this resort town became the capital city of a newly-formed collaborationist state in Southern France.;Algiers;Marseille;Tolouse;Vichy;D;
31;capital cities;4;After Polish army took control of Vilnius in 1920, this city became Lithuania's provisional capital.;Kaunas;Klaipeda;Otepaa;Siauliai;A;
32;capital cities;3;Which one of those microstates is NOT a city-state?;Liechtenstein;Monaco;Singapore;Vatican;A;
33;capital cities;2;What is the capital city of Turkey?;Ankara;Erzurum;Istanbul;Izmir;A;
34;capital cities;2;What is the capital of Canada?;Calgary;Ottawa;Toronto;Vancouver;B;
35;capital cities;4;Tashkent is the capital of:;Kyrgyzstan;Tajikistan;Turkmenistan;Uzbekistan;D;
36;capital cities;4;Podgorica is the capital of:;Bosnia and Herzegovina;Kosovo;Montenegro;North Macedonia;C;
37;capital cities;5;What is the capital of East Timor?;Dili;Sana'a;Timor;Thimphu;A;
38;capital cities;3;Nairobi is the capital of:;Ethiopia;Kenya;Libya;South Africa;B;
39;capital cities;5;South Vietnam's capital Saigon nowadays is known as:;Hanoi;Haiphong;Ho Chi Minh City;Hoa Binh;C;
40;capital cities;4;Which capital was known as Kristiania before 1925?;Amsterdam;Copenhagen;Oslo;Riga;C;
